id,name,description,optimal_sun,optimal_soil,planting_considerations,when_to_plant,growing_from_seed,transplanting,spacing,watering,feeding,other_care,diseases,pests,harvesting,storage_use
11,Cauliflower,"Cauliflower is a cool-season crop and a descendant of the common cabbage. It is more difficult to than its relatives because it does not tolerate the heat or cold as well. For this reason, cauliflower is usually grown commercially. If you plan to attempt growing cauliflower in the home garden, it requires consistently cool temperatures with temperatures in the 60s. Otherwise, it prematurely “button”—form small button-size heads—rather than forming one, nice white head.",Full Sun(at least 6 hours a day),"Loamy, Mildly Acidic to Neutral pH",Soil needs be very rich in organic matter; add compost to the soil before planting. Fertile soil holds in moisture to prevent heads from “buttoning.”,"It is best to start cauliflower from transplants rather than seeds. Transplant 2-4 weeks before the average frost date in the spring, no sooner and not much later. Plant fall cauliflower about the same time as fall cabbage. This is usually 6-8 weeks before the first fall frost and also need to be after the temperature is below 75 degrees F.","If you really want to try starting cauliflower from seeds, start the seeds 4 to 5 weeks before the plants are needed. Plant the seeds in rows 3 to 6 inches apart and ¼ to ½ of an inch deep. Do not forget to water the seeds during their germination and growth.","Once seeds become seedlings, transplant them to their permanent place in the garden.",Space the transplants 18 to 24 inches apart with 30 inches between rows.,"Cauliflower requires consistent soil moisture. They need 1 to 1.5 inches of water each week; with normal rainfall, this usually requires supplement watering.",,"Note that the cauliflower will start out as a loose head and it takes time for the head to form. Many varieties take at least 75 to 85 days from transplant. Be patient. When the curd (the white head) is about 2 to 3 inches in diameter, tie the outer leaves together over the head with a rubber band, tape, or twine. This is called blanching, and it protects the head from the sun and helps you get that pretty white color. The plants are usually ready for harvest 7 to 12 days after blanching.","Clubroot, Black Rot","Cabbageworm, Aphids, Harlequin Bugs","When the heads are compact, white, and firm, then it is time to harvest them. Ideally, the heads will grow 6 to 8 inches in diameter. Cut the heads off the plant with a large knife. Be sure to leave some of the leaves around the head to keep it protected. If the heads are too small but have started to open up, they will not improve and should be harvested. If the cauliflower has a coarse appearance, it is too mature and should be tossed.","If you want to store cauliflower, you can put the head in a plastic bag and store it in the refrigerator. It should last for about a week. For long-term storage, you can also freeze or pickle the heads."
12,Celery,"Celery is a long-season crop that can be tricky to grow, some might say, the trickiest of all. It likes fertile soil, cool temperatures, and constant moisture. It will not tolerate heat and can be hard to transplant. Summer crops in the north and winter crops in the south make celery a year-round producer. All the work is worth it when you harvest crunchy, green stalks.",Full-Part Sun,Neutral pH,,"Celery seeds should always be started indoors for the best success rate, 8 to 10 weeks before the average last frost date for your area. For summer gardeners, a late summer direct sowing is possible. Be sure that temps will stay between 55 and 70ºF throughout growing period.","The National Gardening Association recommends soaking seeds in warm water overnight prior to planting, to reduce germination time.  Direct sow seeds ¼ inch deep.","Harden off seedlings before transplanting by reducing water slightly, and keeping them outdoors for a couple hours a day.",Space the seedlings to 10-12 inches apart.,"Celery is a heavy feeder. It also requires lots of water. Make sure to provide plenty of water during the entire growing season, especially during hot, dry weather. If celery does not get enough water, the stalks will be dry, and small. Fertilize regularly. Add mulch as needed, to help retain soil moisture and add nutrients. Tie growing celery stalks together to keep them from sprawling.",,,"Fusarium Wilt, Mosaic Virus","Cutworms, Aphids, Whiteflies","The parts of celery that are harvested are mainly the stalks, which will be above ground. Harvest stalks from the outside in. You may begin harvesting when stalks are about 8 inches tall.","Keep celery in a plastic bag, in the refrigerator. It should be used within two weeks."
13,Chives,"Chives are a perennial member of the onion family that sport beautiful purple flowers. Chives are cool-season, cold-tolerant perennials that are planted in early spring. Be mindful when planting this herb, as it will take over your garden if the flowers are left to ripen (the flowers scatter the seeds). However, this plant is easy to dig up and move if it overwhelms your garden.",Full Sun(at least 6 hours a day),"Loamy, Sandy","Soil needs to be moist, fertile, rich, and well-draining. Before planting, incorporate 4 to 6 inches of well-composted organic matter. Apply 2 to 3 tablespoons of all-purpose fertilizer (16-16-8) per square foot of planting area. Work compost and fertilizer into the soil to a depth of 6 to 8 inches.","For a head start, start the seeds indoors 8 to 10 weeks before the last spring frost. If you are growing from seed, sow as soon as the soil is workable in the spring.","For the best growth, the soil should be around 60º-70ºF. Plant seeds ¼ inch deep.",Transplants need good growth before being set in the garden.,Final plant spacing should be 4 to 6 inches apart in all directions.,"It is important to give chives consistent watering throughout the growing season for high yields. Moisten the soil thoroughly when watering. Use mulch to conserve moisture and keep the weeds down. Minimal care is needed for fully grown plants. After the flowers bloom, be sure to remove them so that the seeds aren't spread throughout your garden. Remember to divide the plants every 3 to 4 years in the spring. Chives are much more productive if divided regularly. Allow divided plants to grow for several weeks before harvesting.",,,"Bulb rots (caused by soilborne fungi), White rot, Rust",Onion fly,"Harvest chives 30 days after you transplant or 60 days after seeding. Cut the leaves down to the base when harvesting (within 1 to 2 inches of the soil). Harvest 3 to 4 times during the first year. In subsequent years, cut plants back monthly. The chive plant will flower in May or June. (The flowers are edible.)",Use chives when they're fresh or frozen (freeze the leaves in an airtight bag). Dried chives lose their flavor. Store chives in a cool place in a resealable container.
14,Collard Greens,"Collard Greens are a hardy, cool-season green that are part of the cabbage family. They grow best in the spring and fall and can tolerate all fall frosts.",Full Sun(at least 6 hours a day),"Loamy, Neutral-Mildly Alkaline pH",,You can plant collards anytime from early spring to early summer. If you plant collards late in the summer you can harvest it from fall until the ground freezes in winter.,"Plant the seeds ¼ to ½ inch deep into well-drained, light soil.","Once seeds become seedlings, transplant them to their permanent place in the garden.","After about 2 weeks, thin the seedlings so that they are spaced 8-12 inches apart.  Transplant to 8-12 inches apart",Water the plants regularly but be sure not to overwater them. Mulch the soil heavily after the first hard freeze; the plants may continue to produce leaves throughout the winter.,,,,"Cabbageworms, Flea beetles, Aphids","Collards are ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small, tender leaves can be eaten uncooked and used in salads.",You can store collards as you would any other leafy green; put the kale in a plastic bag and store it in the refrigerator. It should last about 1 week.
15,Cucumbers,"Cucumbers are a warm-season vegetable planted outside in the ground no earlier than 2 weeks after last spring frost date. Most varieties will grow in any amount of space, thanks to the plant's ability to climb. The most common varieties of slicing cucumbers have sprawling vines with large green leaves and curling tendrils. The growth of these plants is fast, and the crop yield is abundant if you care for them properly.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","A trellis might be a good idea if you want the vine to climb, or if you have limited space. Trellising also protects the fruit from damage from lying on the moist ground.","Cucumbers are seeded or transplanted outside in the ground no earlier than 2 weeks after last frost date of spring. Cucumbers are extremely susceptible to frost damage; the soil must be at least 65ºF for germination. Do not plant outside too soon! For an early crop, start cucumber seeds indoors about 3 weeks before you transplant them in the ground. They like bottom heat of about 70ºF (21ºC). If you don’t have a heat mat, put the seeds flat on top of the refrigerator or perch a few on top of the water heater.","Sow seeds in rows, 1 inch deep and 6 to 10 inches apart.","Before you plant outside, select a site with full sun.","When seedlings reach 4 inches tall, thin plants so that  they are 1½ feet apart.","When seedlings emerge, begin to water frequently, and increase to a gallon per week after fruit forms. Water consistently; put your finger in the soil and when it is dry past the first joint of your finger, it is time to water. Inconsistent watering leads to bitter-tasting fruit. Water slowly in the morning or early afternoon, avoding the leaves.","If you've worked in organic matter into the soil before planting, you may only need to side-dress your plants with compost. Or, if you wish, use a fertilizer from your garden store which is low nitrogen/high potassium and phosphorus formula and apply at planting, 1 week after bloom, and every 3 weeks with liquid food, applying directly to the soil around the plants. Or, you can work a granular fertilizer into the soil. Do not overfertilize or the fruits will get stunted.","Mulch to hold in soil moisture. If you have limited space or would prefer vertical vines, set up trellises early to avoid damage to seedlings and vines. Spray vines with sugar water to attract bees and set more fruit.","Bacterial Wilt, Mosaic Viruses","Cucumber Beetles, Whiteflies","Harvest regular slicing cucumbers when they about 6 to 8 inches long (slicing varieties). Harvest dills at 4 to 6 inches long and pickles at 2 inches long for pickles. Harvest by cutting or pinching at the base of the fruit. Cucumbers are best picked before they seeds become hard and are eaten when immature. Do not let them get yellow. A cucumber is of highest quality when it is uniformly green, firm and crisp. At peak harvesting time, you should be picking cucumbers every couple of days. Keep them picked. If you don’t, as plants mature, they will stop producing.",Cucumbers are over 90 percent water. Store wrapped tightly in plastic wrap to retain moisture. They will keep for a week to 10 days when stored properly in the refrigerator.
16,Sweet Corn,"Sweet corn is an annual with yellow, white, and bi-colored ears. A long, frost-free growing season is necessary after planting. Sweet corn is wind-pollinated, so it should be planted in blocks, rather than in single rows. Early, mid, and late-season varieties extend the harvest. If you miss the optimal harvest time, corn will go downhill fast as sugars convert to starch.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH",Corn is picky about its soil. Work in compost the fall before planting and let over winter in the soil. Starting seeds indoors is not recommended.,"Plant seeds outdoors two weeks after the last spring frost date. Make sure soil temperature is above 60 degrees for successful germination. (Up to 65 for super sweet varieties.) In colder zones, the ground can be warmed by a black plastic cover if necessary. Plant seeds through holes.",Plant seeds 1 inch deep and 4 to 6 inches apart. Space rows 30 to 36 inches apart.,Transplanting sweet corn is not recommended.,"When your plants are 3 to 4 inches tall, thin them so they are 8 to 12 inches apart.","Water well at planting time. Soil must be well drained and able to keep consistent moisture. In dry conditions, be sure to keep corn well watered due to its shallow roots. Water at a rate of 5 gallons per sq yard. Mulch helps reduce evaporation.","You may choose to fertilize at planting time, corn is meant to grow rapidly. If you are confident that the soil is adequate, this can be skipped.",,,"Flea Beetles, Cutworms",Harvest when tassels begin to turn brown and cobs start to swell. Kernels should be full and milky. Pull ears downward and twist to take off stalk.,"Sweet corn varieties lose their sweetness soon after harvesting. Prepare for eating or preserving immediately after picking. Sweet corn freezes well, especially if removed from ears before freezing."
17,Eggplant,"Eggplants are short-lived perennial vegetables, but are usually cultivated as annuals. Also known as aubergines, eggplants differ mainly in size, shape and color of the fruits. Eggplants are tropical and subtropical, requiring relatively high temperatures. Related crop include tomatoes, potatoes and peppers.",Full Sun(at least 6 hours a day),"Sandy, Mildly Acidic to Neutral pH",,Start plants indoors 2 months before the soil warms up or buy nursery transplants just before planting.,Plant seeds at roughly 1.5 times the seed’s diameter.,Place 3 to 4 inch tall seedlings 24 to 30 inches apart in well-prepared beds.,Final plant spacing should be 24 to 30 inches apart in all directions.,Water well to where the soil is moist like a rung out sponge.,Apply a balanced fertilizer or compost every two weeks during the growing season.,Pinch out the terminal growing points for a bushier plant. Stake plants over 24 inches tall.,Downy and Powdery Mildew,"Aphids, Spider Mites, Tomato Hornworms","Harvest 16 to 24 weeks after sowing when the skin of the fruit is shiny and unwrinkled. Cut the fruit close to the stem, but leaving about an inch of it attached.",Eggplants can be stored for up to two weeks in humid conditions no lower than 50 degrees F.
18,Onion,"Onions are a cold-season crop, easy to grow because of their hardiness. We recommend using onion sets, which can be planted without worry of frost damage and have a higher success rate than direct seed or transplants. Onions grow well on raised beds or raised rows at least 4 inches high.",Full Sun(at least 6 hours a day),Neutral pH,"Select a location with full sun where your onions won't be shaded by other plants. Soil needs to be well-drained, loose, and rich in nitrogen; compact soil affects bulb development.","Plant onions as soon as the ground can be worked in the spring, usually late March or April. Make sure temperature doesn’t go below 20 degrees F.","Seeding? Onion seeds are short-lived. If planting seeds indoors, start with fresh seeds each year. Start seeds indoors about 6 weeks before transplanting.","Think of onions as a leaf crop, not a root crop. When planting onion sets, don’t bury them more than one inch under the soil; if more than the bottom third of the bulb is underground, bulb growth can be restricted.",Final spacing should be 4-5 inches between each plant and in rows 12-18 inches apart.,"Generally, onions do not need consistent watering if mulch is used. About one inch of water per week (including rain water) is sufficient. If you want sweeter onions, water more. Onions will look healthy even if they are bone dry, be sure to water during drought conditions.",Fertilize every few weeks with nitrogen to get big bulbs. Cease fertilizing when the onions push the soil away and the bulbing process has started. Do not put the soil back around the onions; the bulb needs to emerge above the soil.,"Make sure soil is well-drained. Mulch will help retain moisture and stifle weeds. Cut or pull any onions that send up flower stalks; this means that the onions have “bolted” and are done. When onions start to mature, the tops become yellow and begin to fall over. At that point, bend the tops down or even stomp on them to speed the final ripening process.",,Onion Maggots,"When tops are brown, pull the onions. Be sure to harvest in late summer, before cool weather. Mature onions may spoil in fall weather.","Allow onions to dry for several weeks before you store them in a root cellar or any other storage area. Spread them out on an open screen off the ground to dry. Store at 40 to 50 degrees F (4 to 10 degrees C) in braids or with the stems broken off. Mature, dry-skinned bulbs like it cool and dry, so don't store them with apples or potatoes."
19,Garlic,"Garlic is easy to grow and produces numerous bulbs after a long growing season. It is frost tolerant. Beyond its intense flavor and culinary uses, “the stinking rose” is good in the garden as an insect repellent and has been used for centuries as a home remedy.",Full Sun(at least 6 hours a day),"Loamy, Mildly Acidic to Neutral pH","Do not plant cloves from the grocery store. They may be unsuited varieties for your area, and most are treated to make their shelf life longer, making them harder to grow. Instead, get cloves from a mail order seed company or a local nursery. Ensure soil is well-drained with plenty of organic matter. Select a sunny spot.","Garlic can be planted in the spring as soon as the ground can be worked, but fall planting is recommended for most gardeners. Plant in the fall and you’ll find that your bulbs are bigger and more flavorful when you harvest the next summer. In areas that get a hard frost, plant garlic 6 to 8 weeks before that frost. In southern areas, February or March is a better time to plant.","Break apart cloves from bulb a few days before planting, but keep the papery husk on each individual clove. Place cloves 4 inches apart and 2 inches deep, in their upright position (the wide root side facing down and pointed end facing up).",Transplanting garlic is not recommended.,Final spacing should be 4-5 inches between each plant,Water every 3 to 5 days during bulbing (mid-May through June).,"Garlic requires adequate levels of nitrogen. Fertilize accordingly, especially if you see yellowing leaves.",Northern gardeners should mulch heavily with straw for overwintering. Mulch should be removed in the spring after the threat of frost has passed. (Young shoots can’t survive in temps below 20°F on their own. Keep them under cover.) Cut off any flower shoots(scapes) that emerge in spring. These may decrease bulb size. A note on garlic scapes: Some folks love cooking the scales as they are delicious.,White Rot,Garlic is a natural pest repellent!,"Harvest time depends on when you plant, but the clue is to look for yellow tops. Harvest when the tops begin to yellow and fall over, before they are completely dry. To harvest, carefully lift the bulbs with a spade or garden fork. Pull the plants, carefully brush off the soil, and let them cure in an airy, shady spot for two weeks. We hang them upside down on a string in bunches of 4 to 6. Make sure all sides get good air circulation.","Once the garlic bulbs are dry, you can store them. Remove any dirt and trim off any roots or leaves. Keep the wrappers on—but remove the dirtiest wrappers. Bulbs should be stored in a cool (40 degrees F), dark, dry place, and can be kept in the same way for several months. Don’t store in your basement if it’s moist! If you plan on planting garlic again next season, save some of your largest, best-formed bulbs to plant again in the fall."
20,Kale,"Kale is a hardy, cool-season green that is part of the cabbage family. It grows best in the spring and fall and can tolerate all fall frosts. Kale can be used in salads or as a garnish and is rich in minerals and vitamins A and C.",Full Sun(at least 6 hours a day),"Loamy, Neutral-Mildly Alkaline pH",,You can plant kale anytime from early spring to early summer. If you plant kale late in the summer you can harvest it from fall until the ground freezes in winter.,"Plant the seeds ¼ to ½ inch deep into well-drained, light soil.","Once seeds become seedlings, transplant them to their permanent place in the garden.","After about 2 weeks, thin the seedlings so that they are spaced 8-12 inches apart.  Transplant to 8-12 inches apart.",Water the plants regularly but be sure not to overwater them.,,Mulch the soil heavily after the first hard freeze; the plants may continue to produce leaves throughout the winter.,,"Cabbageworms, Flea beetles, Aphids.","Kale is ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small, tender leaves can be eaten uncooked and used in salads.",You can store kale as you would any other leafy green; put the kale in a plastic bag and store it in the refrigerator. It should last about 1 week.
21,Cantaloupe,"What we commonly refer to as ‘cantaloupe’ is actually not true cantaloupe, rather, a type of muskmelon. (True cantaloupe has a rough, warty rind and is not widely grown or commercially available in the US.) Muskmelons are a heat-loving fruit with a long growing season. Their cultural and growing requirements are very similar to other melons. They have a net-like, tan rind, and sweet orange flesh. The names muskmelon and cantaloupe are used interchangeably. We will use the name cantaloupe for this page to avoid confusion.",Full Sun(at least 6 hours a day),"Sandy, Mildly Acidic to Neutral pH","Amend soil with compost before planting. Growing the vines in raised rows, known as hills, ensures good drainage and will hold the sun’s heat longer. If you have limited space, vines can be trained to a support such as a trellis.","If you are in a cooler zone, start seeds indoors about a month before transplanting. Cantaloupe vines are very tender and should not be transplanted until all danger of frost has passed. If you live in warmer climes, you can direct sow seeds outdoors, but wait until the soil temperature warms to at least 65 degrees to avoid poor germination.",Plant seeds at roughly one inch deep.,"Transplant seedlings to 18 inches apart, in hills about 3 feet apart. Handle them gently when you transplant. Add lots of compost to the area before planting and after planting.",Final spacing should be 18 inches between plants on hills about 3 feet apart.,"While melon plants are growing, blooming, and setting fruit, they need 1 to 2 inches of water per week. Water in the morning, and try to avoid wetting the leaves. Reduce watering once fruit are growing. Dry weather produces the sweetest melon. If you’ve had an exceptional amount of rainfall during the ripening stage, this could cause the bland fruit.",Fertilize when vines start growing.,"Mulching with black plastic will serve multiple purposes: it will warm the soil, hinder weed growth and keep developing fruits clean. Row covers are a good idea to keep pests at bay. Blossoms require pollination to set fruit, so be kind to the bees!",Fusarium Wilt,"Aphids, Cucumber Beetles, Squash Borers","When rinds begin to change from green to tan or yellow, the melon is probably ripe, but be careful not to pick too early. Look for a crack in the stem where it attaches to the fruit. This is a sign of ripeness as well. The fruit should be easy to separate from the vine, but if they fall off by themselves they are usually overripe. Harvest melon when vines are dry, and be careful not to damage them.","They will soften after harvesting, but will not continue to sweeten off the vine. Cantaloupe can be stored uncut for 5 or 6 days. If cut, they can last in the refrigerator for about 3 days, wrapped tightly in plastic."
22,Parsnips,"Parsnips, popular with ancient Greeks and Romans, were brought over to the Americas with the first colonists. Although parsnips are biennials, they are usually grown as an annual vegetable. Parsnips are a hardy, cool-season crop that is best harvested after a hard frost. Parsnips are not only tasty in soups and stews, but can also be enjoyed by themselves.",Full-Part Sun,"Loamy, Sandy, Mildly Acidic-Neutral pH",Always sow fresh seed.,"Parsnips need a long growing season, so sow as soon as the soil is workable.",Sow 2 seeds per inch ½ an inch deep. Seedlings will emerge in 2-3 weeks.,Thin or transplant seedlings to stand 3-6 inches apart.,Final plant spacing should be 4-6 inches apart in all directions.,Water during the summer if rainfall is less than 1 inch per week.,Always keep the beds free of weeds.,,,,"Parsnips mature in about 16 weeks. Leave your parsnips in the ground for a few frosts but harvest before the ground freezes. If you leave them in the ground for the winter, cover them with a thick layer of mulch and harvest immediately after the ground thaws in the spring.",
23,Peas,"Peas are a cool-season crop, now coming in three separate varieties to suit your garden and cooking needs. They are: Pisum savitum, which includes both garden peas (sweet pea, inedible pod) and snow peas (edible flat pod with small peas inside) and Pisum macrocarpon, snap peas (edible pod with full-size peas). They are easy to grow, but with a very limited growing season. Furthermore, they do not stay fresh long after harvest, so enjoy them while you can!",Full-Part Sun,"Loamy, Neutral pH","To get the best head start, turn over your pea planting beds in the fall, add compost to the soil, and mulch well. As with other legumes, pea roots will fix nitrogen in the soil, making it available for other plants.","Sow seeds outdoors 4 to 6 weeks before last spring frost, when soil temperatures reach 45 degrees F. Get them in the ground while the soil is still cool but do not have them sit too long in wet soil. It’s a delicate balance of proper timing and weather conditions. A blanket of snow won’t hurt emerging pea plants, but several days with temperatures in the teens could. Be prepared to plant again. Peas are best grown in temperatures below 70 degrees F.",Plant 1 inch deep (deeper if soil is dry) and 2 inches apart.,Transplanting peas is not recommended.,Final spacing should be 3 inches between each plant.,"Water sparsely unless the plants are wilting. Do not let plants dry out, or no pods will be produced.","Be sure, too, that you don’t fertilize the soil too much. Peas are especially sensitive to too much nitrogen, but they may like a little bonemeal, for the phosphorus content.","For tall and vine varieties, establish poles or a trellis at time of planting.",Fusarium Wilt,"Aphids, Mexican Bean Beetles",Keep your peas well picked to encourage more pods to develop. Pick peas in the morning after the dew has dried. They are crispiest then. Always use two hands when you pick peas. Secure the vine with one hand and pull the peas off with your other hand.,"Peas can be frozen or kept in the refrigerator for about 5 days. Place in paper bags, then wrap in plastic. If you missed your peas’ peak period, you can still pick, dry, and shell them for use in winter soups."
24,Bell Peppers,"Peppers are a tender, warm-season crop. They resist most pests and offer something for everyone: spicy, sweet or hot, and a variety of colors, shapes and sizes. For this page, we will focus on sweet bell peppers.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","A week before transplanting, introduce fertilizer or aged compost in your garden soil.","Start seeds indoors 8-10 weeks before last spring frost date. Soil should be at least 65 degrees F, peppers will not survive transplanting at temps any colder. Northern gardeners can warm up the soil by covering it with black plastic.","The temperature must be at least 70 degrees F for seed germination, so keep them in a warm area for the best and fastest results.","Begin to harden off plants about 10 days before transplanting. After the danger of frost has passed, transplant seedlings outdoors, 18 to 24 inches apart (but keep paired plants close to touching.)",Final plant spacing should be 18 to 24 inches apart in all directions.,"Soil should be well-drained, but maintain adequate moisture either with mulch or plastic covering. Water one to two inches per week, but remember peppers are extremely heat sensitive. If you live in a warm or desert climate, watering everyday may be necessary.",Fertilize after the first fruit set.,"If necessary, support plants with cages or stakes to prevent bending. Try commercially available cone-shaped wire tomato cages. They may not be ideal for tomatoes, but they are just the thing for peppers. For larger fruit, spray the plants with a solution of one tablespoon of Epsom salts in a gallon of water, once when it begins to bloom, and once ten days later.",Blossom End Rot,"Aphids, Flea Beetles","Harvest as soon as peppers reach desired size and color(green peppers are just a less mature stage of red, yellow or purple bell peppers). The longer bell peppers stay on the plant, the more sweet they become and the greater their Vitamin C content. Use a sharp knife or scissors to cut peppers clean off the plant for the least damage.",Peppers can be refrigerated in plastic bags for up to 10 days after harvesting.
25,Potatoes,"This half hardy vegetable is a culinary staple, and yet is overlooked by many backyard gardeners. The taste and texture of home-grown potatoes are far superior to store bought, especially the early varieties. They need a cool climate, and also need to be watched to prevent sunburn. Potatoes can be grown as a winter crop in warmer climate zones.",Full Sun(at least 6 hours a day),"Sandy, Acidic pH","If you are cutting up potato pieces for planting, do so a 1-2 days ahead of time. This will give them the chance to form a protective layer, both for moisture retention and rot resistance. Potatoes thrive in well-drained, loose soil.","Plant seed potatoes (pieces of whole potato or a small whole potato, with at least 2 eyes per piece) 0-2 weeks after last spring frost. You may start planting earlier, as soon as soil can be worked, but be aware that some crops will be ruined by a frost.","Plant seed potatoes one foot apart in a 4-inch deep trench, eye side up.",Transplanting potatoes is not recommended.,Final plant spacing should be one foot apart in all directions.,"Potatoes need consistent moisture, so water regularly when tubers start to form.",,"Hilling should be done before the potato plants bloom, when the plant is about 6 inches tall. Hoe the dirt up around the base of the plant in order to cover the root as well as to support the plant. Bury them in loose soil. The idea is to keep the potato from getting sunburned, in which case they turn green and will taste bitter. You will need to hill potatoes every couple of weeks to protect your crop.",Early/Late Blight,"Aphids, Flea Beetles, Leaf Hoppers","Dig potatoes on a dry day. Dig up gently, being careful not to puncture the tubers. The soil should not be compact, so digging should be easy. New potatoes will be ready for harvest after 10 weeks, usually in early July. You should harvest all of your potatoes once the vines die (usually by late August), or the potatoes may rot.","Make sure you brush off any soil clinging to the potatoes, then store them in a cool, dry, dark place. The ideal temperature for storage is 35 to 40°F. Do not store potatoes with apples; their ethylene gas will cause potatoes to spoil."
26,Pumpkins,"Whether you use them for carving or cooking, pumpkins do not disappoint. Note that pumpkins do require a lot of food and a long growing season (generally from 75 to 100 frost-free days) so you need to plant them by late May in northern locations to early July in extremely southern states. Do not plant this tender vegetable until all danger of frost has passed and the soil is warmed as the seedlings will be injured or rot. (See the Almanac.com/Gardening page for frost dates.) That said, pumpkins are easy to maintain if you have the space.",Full Sun(at least 6 hours a day),Any,Pick a site with full sun (to light shade) and lots of space for sprawling vines. Vine varieties need 50 to 100 square feet per hill. Pumpkins are big greedy feeders. They prefer very rich soil that is well-drained and not too soggy. Mix lots of compost and aged mature into the planting site before you sow seeds or transplant. Pumpkins do best when the seeds are directly planted in the ground.,"If your growing season is very short, seed indoors in peat pots about 2 to 4 weeks before last spring frost. Be sure to harden off before transplanting. Wait until the plant soil is 70ºF or more before sowing seeds. Optimum soil temperature is 95ºF. Pumpkins are very sensitive to the cold.","Plant seeds in rows or “pumpkin hills” which are the size of small pitcher mounds. With hills, the soil will warm more quickly and the seeds will germinate faster. This also helps with drainage and pest control. Prepare the hills in advance with an abundance of compost dug deep into the ground (12 to 15 inches). Plant the seeds 1 inch deep into the hills (4 to 5 seeds per hill).",Seed indoors in peat pots about 2 to 4 weeks before last spring frost. Be sure to harden off before transplanting.,"When the plants are 2 to 3 inches tall, thin to 2 to 3 plants per hill by snipping off unwanted plants without disturbing the roots of the remaining ones. Space hills 4 to 8 feet apart.","Pumpkins are very thirsty plants and need lots of water. Water one inch per week. Water deeply, especially during fruit set. When watering: Try to keep foliage and fruit dry unless it’s a sunny day. Dampness will make rot more likely.",Pumpkins are HEAVY feeders. Regular treatments of manure or compost mixed with water will sustain good growth.,"Use row covers to protect plants early in the season and to prevent insect problems. However, remember to remove covers before flowering to allow pollination by insects! Add mulch around your pumpkins to keep in moisture, suppress weeks, and discourage pests. Remember that pumpkins are tender from planting to harvest. Control weeds with mulch. Do not over-cultivate, or their very shallow roots may be damaged. Pinch off the fuzzy ends of each vine after a few pumpkins have formed. This will stop vine growth so that the plant’s energies are focused on the fruit.","Powdery Mildew, Anthracnose","Aphids, Squash Borers","Your best bet is to harvest pumpkins when they are mature. They will keep best this way. Do not pick pumpkins off the vine because they have reached your desired size. If you want small pumpkins, buy a small variety. A pumpkin is ripening when its skin turns a deep, solid color (orange for most varieties). When you thumb the pumpkin, the rind will feel hard and it will sound hollow. Press your nail into the pumpkin’s skin; if it resists puncture, it is ripe. To harvest the pumpkin, cut the fruit off the vine carefully with a sharp knife or pruners; do not tear. Be sure not to cut too close to the pumpkin; a liberal amount of stem (3 to 4 inches) will increase the pumpkin’s keeping time.","Pumpkins should be cured in the sun for about a week to toughen the skin and then stored in a cool, dry bedroom or cellar—anywhere around 55ºF."
27,Radishes,"Radishes are a hardy, cool-season vegetable that can produce many crops each season due to its rapid days to maturity. Radishes can be planted in both the spring and the fall, but growing should be suspended in the warmer months. They are a very easy vegetable to grow.",Full Sun(at least 6 hours a day),Any,Radishes need sun. If they are planted in too much shade—or even where neighboring vegetable plants shade them—they put all their energy into producing larger leaves. Plant consecutively every two weeks or so while weather is still cool for a continuous harvest of radishes. Plan on a fall planting. You can plant radishes later than any other root crop in late summer or early fall and still get a harvest.,Plant 4-6 weeks before the average date of last frost.,Direct sow seeds ½ inch to an inch deep and one inch apart in rows 12 inches apart.,Transplanting radishes is not recommended.,Thin to about 2-inch spacings. Crowded plants will not grow well.,Radishes require well-drained soil with consistent moisture. Keep soil evenly moist but not waterlogged.,,,Clubroot,Cabbage Root Maggot,"Radishes will be ready to harvest quite rapidly, as three weeks after planting for some varieties. Pull at the base of the stem when harvesting.","Cut the tops off short, wash the radishes and dry them thoroughly. Radish greens can be stored separately for up to three days."
